Price,Taxes,outbound 1 airport departure,outbound 1 airport arrival,outbound 1 time departure,outbound 1 time arrival,outbound 1 flight number,outbound 2 airport departure,outbound 2 airport arrival,outbound 2 time departure,outbound 2 time arrival,outbound 2 flight number,inbound 1 airport departure,inbound 1 airport arrival,inbound 1 time departure,inbound 1 time arrival,inbound 1 flight number,inbound 2 airport departure,inbound 2 airport arrival,inbound 2 time departure,inbound 2 time arrival,inbound 2 flight number
336.38,70.38,CPH,AMS,2022-12-30 14:10,2022-12-30 15:35,UX3757,AMS,MAD,2022-12-30 19:10,2022-12-30 21:50,UX1094,MAD,AMS,2023-03-11 07:05,2023-03-11 09:45,UX1091,AMS,CPH,2023-03-11 16:50,2023-03-11 18:10,UX3771
336.38,70.38,CPH,AMS,2022-12-30 14:10,2022-12-30 15:35,UX3757,AMS,MAD,2022-12-30 19:10,2022-12-30 21:50,UX1094,MAD,AMS,2023-03-11 07:05,2023-03-11 09:45,UX1091,AMS,CPH,2023-03-11 21:10,2023-03-11 22:30,UX3774
336.38,70.38,CPH,AMS,2022-12-30 14:10,2022-12-30 15:35,UX3757,AMS,MAD,2022-12-30 19:10,2022-12-30 21:50,UX1094,MAD,AMS,2023-03-11 07:05,2023-03-11 09:45,UX1091,AMS,CPH,2023-03-11 12:15,2023-03-11 13:35,UX3786
336.38,70.38,CPH,AMS,2022-12-30 14:10,2022-12-30 15:35,UX3757,AMS,MAD,2022-12-31 11:05,2022-12-31 13:45,UX1098,MAD,AMS,2023-03-11 07:05,2023-03-11 09:45,UX1091,AMS,CPH,2023-03-11 16:50,2023-03-11 18:10,UX3771
336.38,70.38,CPH,AMS,2022-12-30 14:10,2022-12-30 15:35,UX3757,AMS,MAD,2022-12-31 11:05,2022-12-31 13:45,UX1098,MAD,AMS,2023-03-11 07:05,2023-03-11 09:45,UX1091,AMS,CPH,2023-03-11 21:10,2023-03-11 22:30,UX3774
336.38,70.38,CPH,AMS,2022-12-30 14:10,2022-12-30 15:35,UX3757,AMS,MAD,2022-12-31 11:05,2022-12-31 13:45,UX1098,MAD,AMS,2023-03-11 07:05,2023-03-11 09:45,UX1091,AMS,CPH,2023-03-11 12:15,2023-03-11 13:35,UX3786
336.38,70.38,CPH,AMS,2022-12-30 14:10,2022-12-30 15:35,UX3757,AMS,MAD,2022-12-31 07:40,2022-12-31 10:15,UX3766,MAD,AMS,2023-03-11 07:05,2023-03-11 09:45,UX1091,AMS,CPH,2023-03-11 16:50,2023-03-11 18:10,UX3771
336.38,70.38,CPH,AMS,2022-12-30 14:10,2022-12-30 15:35,UX3757,AMS,MAD,2022-12-31 07:40,2022-12-31 10:15,UX3766,MAD,AMS,2023-03-11 07:05,2023-03-11 09:45,UX1091,AMS,CPH,2023-03-11 21:10,2023-03-11 22:30,UX3774
336.38,70.38,CPH,AMS,2022-12-30 14:10,2022-12-30 15:35,UX3757,AMS,MAD,2022-12-31 07:40,2022-12-31 10:15,UX3766,MAD,AMS,2023-03-11 07:05,2023-03-11 09:45,UX1091,AMS,CPH,2023-03-11 12:15,2023-03-11 13:35,UX3786
336.38,70.38,CPH,AMS,2022-12-30 14:10,2022-12-30 15:35,UX3757,AMS,MAD,2022-12-31 09:45,2022-12-31 12:15,UX3768,MAD,AMS,2023-03-11 07:05,2023-03-11 09:45,UX1091,AMS,CPH,2023-03-11 16:50,2023-03-11 18:10,UX3771
336.38,70.38,CPH,AMS,2022-12-30 14:10,2022-12-30 15:35,UX3757,AMS,MAD,2022-12-31 09:45,2022-12-31 12:15,UX3768,MAD,AMS,2023-03-11 07:05,2023-03-11 09:45,UX1091,AMS,CPH,2023-03-11 21:10,2023-03-11 22:30,UX3774
336.38,70.38,CPH,AMS,2022-12-30 14:10,2022-12-30 15:35,UX3757,AMS,MAD,2022-12-31 09:45,2022-12-31 12:15,UX3768,MAD,AMS,2023-03-11 07:05,2023-03-11 09:45,UX1091,AMS,CPH,2023-03-11 12:15,2023-03-11 13:35,UX3786
